,phigh_day_touch,plow_day_touch,phigh_night_touch,plow_night_touch,ret_distance_phigh_day_open,ret_distance_plow_day_open,ret_distance_phigh_night_open,ret_distance_plow_night_open
2017-08-18,0,1,0,1,-0.040669819123866614,0.02433618838585594,-0.015681044579459815,0.04071968093725904
2017-08-19,0,1,0,0,-0.05167941901180129,0.028602431972831806,-0.0214328898914853,0.06363636363636363
2017-08-20,1,0,0,0,0.0051365523694418816,0.04340567612687811,-0.02044131196747626,0.022908183761425602
2017-08-21,0,0,0,1,-0.044420130245536156,-0.015590584123937124,-0.04113989289532601,0.011787322304851498
2017-08-22,1,1,1,0,-0.023032525092092967,0.009514825693608363,-0.029844072826612906,0.16147352941176477
2017-08-23,1,0,0,0,0.02700727437500319,0.11325363564583392,-0.011749261568756128,0.06887625094129611
2017-08-24,0,0,0,0,-0.02157254940627957,0.023145227217490936,-0.019583903795395843,0.024052779006339235
2017-08-25,1,0,1,0,0.014300501070361564,0.03926696522833215,-0.013722413351389098,0.025160073896720467
2017-08-26,0,1,0,1,-0.04344497306860714,0.0030441579477714534,-0.02396105383734253,0.007429669968479489
2017-08-27,1,0,0,1,-0.008551428072401028,0.02414294904816953,-0.01952045454545462,0.006661906495300327
2017-08-28,0,1,0,0,-0.024343540493162417,-0.001292719237248973,-0.02416780665754674,0.037691475897918325
2017-08-29,0,0,1,0,0.010667093777528605,0.03419315715412909,-0.004478311629185856,0.024264741688560604
2017-08-30,0,0,0,0,-0.014006074559270179,0.03470210453960791,-0.018601358576958375,0.03284639301088543
2017-08-31,0,0,1,0,0.013872258086908193,0.03475858282394667,-0.001004580459413842,0.03141102453255306
2017-09-01,1,0,1,0,0.007919214737578534,0.03240539881326265,-0.0032218670156675343,0.02752380297666103
2017-09-02,0,0,0,1,-0.04854419081307125,-0.025570219708367484,-0.06766696563606571,0.02942313925805043
2017-09-03,0,0,0,0,-0.03181198733816935,0.0473912201676281,-0.04766520459153816,0.0473912201676281
2017-09-04,0,1,0,1,-0.0988403093971144,-0.04455683951674244,-0.10406776850849936,0.01352665350444235
2017-09-05,1,0,1,0,-0.02091326192144091,0.06254735670898232,-0.018593566537625467,0.1715181792950318
2017-09-06,1,0,1,0,0.015003755984348163,0.10507658579220021,-0.015513975192429391,0.0441034678427591
2017-09-07,0,0,1,0,0.011804384485666048,0.05692086435051608,-0.006700626709424814,0.05313202003519462
2017-09-08,0,1,0,1,-0.02775347231648576,0.007725108225108138,-0.020291995993367232,0.015167472356867226
2017-09-09,0,0,0,0,-0.06854408261718455,0.07635774262645414,-0.020342834939525007,0.06812068965517235
2017-09-10,0,1,0,0,-0.07739853656319601,-0.023953996018886328,-0.05581395348837209,0.06813996316758748
2017-09-11,1,0,0,0,-0.019614756012141073,0.03853906711812753,-0.031247476600152847,0.0244162472462191
2017-09-12,0,1,0,1,-0.0013308046499336198,0.03573111733079403,-0.019831201545536796,0.0356514296155954
2017-09-13,0,0,0,1,-0.09344399303540342,-0.03360968125123748,-0.07080020844586475,0.028495048461862515
2017-09-14,0,0,0,1,-0.1280402705079667,-0.07446808510638298,-0.1284748309541698,0.018139262726740785
2017-09-15,1,1,1,0,-0.07928198696681484,0.021449586270303335,-0.036708092485549196,0.18317003904863322
2017-09-16,0,0,0,0,-0.0637966804979253,0.15187890274759805,-0.08607594936708861,0.04014798338068268
2017-09-17,0,0,1,0,-0.060526315789473685,0.011042166405645914,-0.039030955585464336,0.020285679990397317
2017-09-18,0,0,1,0,0.08051576619239582,0.14461423674013868,-0.005976413415636828,0.10079773860810239
2017-09-19,0,1,0,1,-0.02588280946837403,0.02243956083119292,-0.01796834695609009,0.04844018784048703
2017-09-20,1,0,1,0,-0.025002543430628802,0.02566492034529659,-0.014941724766410178,0.02859424083769634
2017-09-21,0,0,0,1,-0.045248734577665276,-0.013287288442970913,-0.03182957393483709,0.016578947368421054
2017-09-22,0,1,0,1,-0.07218833038229472,0.009223437061956852,-0.04002666666666664,0.022698863636363663
2017-09-23,0,0,0,0,0.036563457387431234,0.07809045656173781,-0.009926149864167063,0.06672198842194703
2017-09-24,0,1,0,0,-0.033655654113074376,-0.006851351351351327,-0.03043535620052768,0.01432333359096376
2017-09-25,0,0,1,0,0.01663270777479892,0.046258946357721833,-0.0062111150130773635,0.037865828792262045
2017-09-26,0,0,0,0,-0.009766650669494203,0.0428684837258534,-0.009049557579978773,0.023623069830261897
2017-09-27,0,0,1,0,0.03464492867220567,0.05463917525773196,-0.0019390480371711408,0.056597147807406004
2017-09-28,1,0,0,1,-0.0026142857142856103,0.03345833127744618,-0.025809302325581294,0.012819148936170319
2017-09-29,1,0,1,0,0.00881472684085503,0.03562789563521084,-0.0009150788049871388,0.07467086368708567
2017-09-30,0,0,1,0,0.009883063702842103,0.04998524753658239,-0.00897583429228999,0.04870920603994155
2017-10-01,0,1,0,1,-0.023059360730593607,0.0008537312734629061,-0.023048208312880243,0.0032778275365647905
2017-10-02,0,0,1,0,0.009648965805258442,0.037733134593069824,-0.03508114035087725,0.020639983298732224
2017-10-03,0,0,0,1,-0.0764200516043608,-0.03779367867151165,-0.05692438212534113,0.005566017695735435
2017-10-04,0,1,0,1,-0.02932734945844841,-0.002583237657864567,-0.046421221129659275,0.0021629416005767843
2017-10-05,0,0,1,0,0.01510954063604248,0.04035248672139071,-0.00582779623477282,0.04845255474452563
2017-10-06,1,0,0,0,0.012615384615384523,0.03327616262722814,-0.0015983699343446684,0.02747903075489273
2017-10-07,0,0,0,0,-0.01784375502549264,0.00548165015292513,-0.014273698567856322,0.005483981672138969
2017-10-08,0,0,1,0,0.029449771689497667,0.04229522748392271,-0.001773300863404963,0.039414385858953654
2017-10-09,1,0,1,0,-0.0038836495559700546,0.028123398676572188,-0.005414163090128662,0.018630769230769326
2017-10-10,1,0,1,0,-0.010404950531494853,0.04855904658721568,-0.010182291240529476,0.02520698626306121
2017-10-11,0,1,0,0,-0.03790322580645161,-0.0038202200279732336,-0.024864723480080488,0.019529589218453196
2017-10-12,0,0,1,0,0.0713698964071281,0.10082066760541443,-0.006740100655208391,0.08945604376147011
2017-10-13,0,0,0,0,0.03033767845829044,0.07826448357851189,-0.045876189026319764,0.05943343368059184
2017-10-14,0,0,1,0,-0.019400000000000077,0.03034057971014485,-0.015836649939435964,0.027776723644097806
2017-10-15,0,0,0,0,-0.05519642912580513,-0.036416758428290605,-0.07502321733110454,0.014440713998677699
2017-10-16,0,0,0,0,0.025684210526315795,0.06088750528233013,-0.0012855346086762531,0.04363169656229074
2017-10-17,0,1,0,0,-0.03156554455652199,-0.01320449059024959,-0.03824381446593563,0.010690498363477003
2017-10-18,0,0,0,1,-0.06584082449703452,-0.049868497086413964,-0.06361005796119243,0.009948335246842667
2017-10-19,0,0,0,0,0.02961733484113362,0.12049146974463815,-0.011387040280210235,0.03634471021716489
2017-10-20,1,0,1,0,-0.0072044896527534074,0.010878571428571442,-0.006505802923487004,0.010878571428571442
2017-10-21,1,0,1,1,-0.0024517184942716144,0.08784085270736745,-0.011830434225736318,0.02592320161050061
2017-10-22,0,1,0,0,-0.06011667476908111,-0.008548674109363424,-0.04822995997656682,0.01398419239059947
2017-10-23,0,1,0,1,-0.030346666666666654,0.003086196254495611,-0.04310526315789472,0.014423211047565953
2017-10-24,0,1,0,0,-0.05711744427954529,0.0014161105704826404,-0.050749334309174055,0.02677200112363231
2017-10-25,0,1,0,0,-0.049833625632318766,-0.023202848766247643,-0.03822477876106199,0.027813610038244934
2017-10-26,0,0,1,0,0.045219850925124365,0.09351481481481473,-0.002530422502854829,0.056343268897069976
2017-10-27,0,1,0,1,-0.02525425126978332,-0.002587424633936337,-0.031775919732441545,0.005728678130970916
2017-10-28,0,0,0,0,-0.02426002618706373,0.0038571560068256907,-0.030596476593242532,0.007282376825700752
2017-10-29,1,0,1,0,0.00448105103235122,0.01924247787610624,-0.009821453134886773,0.019601594189811992
2017-10-30,0,0,0,1,-0.0069032032931172285,0.07280104712041878,-0.016248231626519626,0.011793268043782345
2017-10-31,0,0,1,0,0.004831613574471681,0.029849087893863976,-0.0044886253424580675,0.019880307574060542
2017-11-01,0,0,0,0,0.015419003115264764,0.05093809144577953,-0.019010371208609957,0.0285530812461935
2017-11-02,0,0,0,0,0.039910907777510204,0.06940947239886648,-0.05342465753424658,0.05076518819493445
2017-11-03,0,0,0,0,0.02340157038698817,0.0686530014641288,-0.006457637408559978,0.05429726996966628
2017-11-04,1,1,1,0,-0.020684959842410745,0.001514391623635085,-0.009422210644603914,0.03593537168526297
2017-11-05,1,0,1,0,0.0074896504339667155,0.05708258882864283,-0.00026263430163145823,0.035304945054945115
2017-11-06,0,0,0,1,-0.025066368037943442,-0.006727417447527606,-0.01620210958459741,0.042105337276439905
2017-11-07,0,1,0,1,-0.031025717602321104,0.03067414115279569,-0.0039022072684688244,0.03828554879814649
2017-11-08,1,1,1,1,0.03001950077460251,0.07230836110708593,-0.008840075006697026,0.060161287780781614
2017-11-09,0,0,0,0,-0.08416709352099486,0.06992031273492708,-0.037332251082251085,0.022299096945474852
2017-11-10,0,0,0,1,-0.08061875772786514,-0.06871653987038602,-0.0919874009431435,0.015711432083589428
2017-11-11,0,1,0,1,-0.08466280752532568,0.011186233115534482,-0.06957949273166442,0.009407870693245933
2017-11-12,0,1,0,0,-0.05062828033343628,0.008201639344262253,-0.07239366515837108,0.15493304237926303
2017-11-13,1,0,1,0,0.044305379746835474,0.11656403315851806,-0.0002999095727196744,0.17857321428571432
2017-11-14,0,0,0,0,-0.042772867963574344,0.03570274636510501,-0.0409844158097705,0.018060207042099125
2017-11-15,0,0,1,0,0.07913626413717624,0.11914787623301132,0.0,0.08868693343802576
2017-11-16,0,0,1,0,0.019386831275720155,0.05742512550229372,-0.015287476645421164,0.050216223855285465
2017-11-17,1,0,0,0,-0.013149679687289632,0.05259401066593736,-0.03647264989360372,0.03309891289759762
2017-11-18,0,1,0,0,-0.030942138364779846,0.012353482260183997,-0.014785865827411258,0.037996496901104855
